en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
tom,ཊོམ་,high,0.89,4746,ཊོམ་(0.89) | གྱིས་(0.39) | ཟེར་(0.20),,,
mary,མེ་རི་,low,0.40,1660,མེ་རི་(0.40) | ཀརྨ་(0.60) | ནུག(0.27),YES,,
john,ཇཱོན་,low,0.39,154,ཇཱོན་(0.39) | ཇོན་(0.18) | གྱིས་(0.19),YES,,
alice,ཨེ་ལིས་,low,0.18,22,ཨེ་ལིས་(0.18) | མེ་རི་(0.27) | བསྟན་འཛིན་(0.23),YES,,
david,ཌེ་ཝིཌ་,low,0.18,22,ཌེ་ཝིཌ་(0.18) | གི་(0.32) | ཨིན(0.27),YES,,
mike,མའིཀ་,low,0.17,12,མའིཀ་(0.17) | སྒྲ་དུང་(0.17) | མཐར་འཁྱོལ་(0.17),YES,,
tony,ཊོནི་,low,0.22,9,ཊོནི་(0.22) | རེ་བ་ཅན་(0.22) | ཆ་རོགས(0.22),YES,,
ken,,MISSING,,2,,YES - not in corpus,,
jane,ཇེན་,low,0.38,8,ཇེན་(0.38) | དེས(0.25) | གྱིས་(0.25),YES,,
bob,བོབ་,low,0.33,6,བོབ་(0.33) | ཨེ་པཱ་(0.17) | ཨིས་ཀརཊ་(0.17),YES,,
peter,པི་ཊར་,medium,0.53,17,པི་ཊར་(0.53) | གྱི་(0.24) | ག་ཅི་(0.18),YES,,
sarah,ཨཱི་ཝན་,low,0.17,6,ཨཱི་ཝན་(0.17) | སཱ་རཱ་(0.17) | སཱ་རཧ་(0.17),YES,,
anna,ཨན་ཎ་,low,0.22,9,ཨན་ཎ་(0.22) | ཨེ་ན་(0.22) | ཨ་ན་(0.22),YES,,
james,ཇེམས་,low,0.30,20,ཇེམས་(0.30) | ཇེམསི་(0.35) | ནུག(0.25),YES,,
robert,རོ་བཊ་,low,0.17,12,རོ་བཊ་(0.17) | གློག་བརྙན་(0.17) | བཟོ་(0.17),YES,,
michael,ཀཱལ་,low,0.47,15,ཀཱལ་(0.47) | མའི་(0.60) | ཨིན་(0.20),YES,,
tashi,བཀྲིས་,low,0.36,22,བཀྲིས་(0.36) | བཀྲ་ཤིས་(0.32) | དང་(0.18),YES,,
dorji,རྡོ་རྗེ་,high,0.92,3478,རྡོ་རྗེ་(0.92) | གིས་(0.52) | ལུ་(0.26),,,
pema,པདྨ་,high,0.81,89,པདྨ་(0.81) | ཨིན(0.31) | ནུག(0.17),,,
sonam,བསོད་ནམས་,high,0.83,48,བསོད་ནམས་(0.83) | དང་(0.31) | ཀྱི་(0.29),,,
ugyen,ཨོ་རྒྱན་,high,1.00,4,ཨོ་རྒྱན་(1.00) | སངས་རྒྱས་(0.25) | བསྐྱར་ཞིབ་(0.25),,,
kinley,,MISSING,,1,,YES - not in corpus,,
jigme,,MISSING,,1,,YES - not in corpus,,
